,ids,titles,aggregateLikes,spoonacularScore,healthScore,pricePerServing,readyInMinutes,servings,weightWatcherSmartPoints,veryHealthy,vegetarian,vegan,glutenFree,dairyFree,whole30,calories,fat,saturated_fat,carbs,sugar,cholesterol,sodium,protein
862,616762,High Protein Quinoa Almond Berry Salad,29554,100.0,53.0,325.29,15,3,10,True,True,True,True,True,False,441.81,15.06,1.25,69.44,28.4,0.0,18.93,12.93
863,383562,Vegetarian Cabbage Rolls,1333,100.0,90.0,159.16,45,4,3,True,False,False,False,False,False,209.7,2.93,1.47,40.42,16.07,5.1,661.9,11.3
864,979379,Chickpea Tuna Salad,1305,100.0,64.0,170.97,5,2,6,True,False,False,True,True,False,315.12,6.87,1.14,32.22,2.0,35.72,1143.54,31.6
865,584336,"Mediterranean Chicken, Bean & Pasta Soup",1109,100.0,96.0,286.85,45,4,13,True,False,False,False,False,False,583.21,17.71,7.27,61.52,12.23,72.9,915.71,48.44
866,559998,"Black Bean, Corn, and Avocado Salad",1579,100.0,63.0,181.49,15,4,12,True,True,True,True,True,False,455.28,10.79,1.73,78.05,9.1,0.0,1181.06,19.66
867,515948,Ahi Tuna Stacks with Ginger-Soy Dressing,15773,100.0,78.0,295.39,20,4,5,True,False,False,True,True,False,211.44,9.54,1.71,17.84,10.29,21.55,111.81,15.54
868,876537,Frisée and Carrot Ribbon Salad with Za'atar-Lemon Vinaigrette,875,100.0,97.0,232.06,20,10,4,True,True,False,True,True,False,196.88,11.64,1.57,21.54,11.32,0.0,460.89,4.88
869,482652,Pasta Salad with Tuna and Beans,878,100.0,94.0,163.78,25,4,11,True,False,False,False,True,False,438.54,14.76,1.66,54.35,3.97,15.31,311.95,23.12
870,505030,Super Healthy Green Soup [vegan],422,100.0,100.0,134.46,40,4,2,True,True,True,True,True,False,174.19,7.95,1.08,20.43,6.9,0.0,630.64,8.59
871,262895,Lower Alabama Caviar,234,100.0,100.0,65.0,45,12,5,True,True,True,True,True,False,206.2,0.96,0.23,38.34,6.71,0.0,14.35,12.73
872,758898,Oyster Mushrooms Rockefeller,1587,100.0,89.0,177.81,45,15,3,True,True,True,True,True,False,112.75,8.99,1.11,6.08,0.87,0.0,107.95,3.35
873,916852,Strawberry Infused Quinoa Breakfast Bowl,1292,100.0,96.0,357.84,45,1,11,True,True,True,True,True,False,530.78,18.61,3.0,81.65,25.3,0.0,29.12,16.08
874,1046984,Roasted Brussel Sprout Salad with Quinoa,58,100.0,100.0,174.9,50,6,11,True,False,False,True,True,False,430.37,10.78,1.41,69.97,3.43,0.26,423.5,17.42
875,482630,Cucumber Apple Green Smoothie,80,100.0,100.0,357.89,5,1,3,True,False,False,True,True,False,272.64,9.8,0.92,48.35,24.67,0.0,33.26,7.16
876,759328,Vietnamese Hot Pot,747,100.0,100.0,283.01,45,8,7,True,True,True,False,True,False,307.11,1.32,0.15,59.1,10.94,0.0,1010.51,19.31
877,608268,"Crispy Quinoa Cakes (Vegan, Gluten-Free, Nut-Free)",2376,100.0,51.0,38.7,50,12,2,False,True,True,False,True,False,97.26,3.95,0.46,13.36,0.79,0.0,144.1,3.45
878,716394,"Butterflied Trout with Spicy Lettuce, Celery, and Herbs",1171,100.0,100.0,505.77,45,4,7,True,False,False,True,True,False,364.95,14.57,7.23,13.92,6.87,117.08,878.43,44.14
879,509783,Winter Kale and Quinoa Salad,746,100.0,100.0,285.89,45,4,11,True,True,False,True,False,False,533.2,21.47,5.76,74.4,18.71,13.05,338.72,19.34
880,603191,Summer Chickpea Salad with Honey Garlic Lime Vinaigrette,17788,100.0,75.0,246.31,35,4,16,True,True,False,True,True,False,537.05,16.81,2.2,80.41,22.9,0.0,183.7,21.96
881,698629,Amazing Pea Soup,844,100.0,91.0,120.76,90,6,0,True,True,False,True,False,False,165.98,1.33,0.44,28.68,13.86,1.84,446.15,10.63
882,958007,Easy Homemade Hummus,3741,100.0,57.0,147.99,5,3,19,True,True,True,True,True,False,654.73,44.88,6.06,49.27,0.6,0.0,1193.14,21.2
883,608014,Creamy Heirloom Tomato and Avocado Gazpacho,706,100.0,100.0,269.89,15,4,7,True,True,True,True,True,False,287.86,22.27,3.12,21.7,11.76,0.0,226.86,4.89
884,516924,Garlic Parmesan Kale Chips,1170,100.0,77.0,39.06,25,6,1,True,False,False,True,False,False,61.66,3.73,1.04,4.77,0.05,2.83,277.46,3.71
885,434297,White Beans and Spinach,50,100.0,100.0,132.54,10,2,1,True,True,True,True,True,False,83.18,0.67,0.21,15.85,0.68,0.0,531.16,7.4
886,495223,Pesto Quinoa & White Bean Cakes with Roasted Tomatoes,4503,100.0,79.0,141.08,50,4,12,True,False,False,False,False,False,495.94,9.9,2.6,74.08,5.56,47.69,449.01,30.47
887,765348,Mushroom Chickpea Skillet,927,100.0,100.0,386.31,45,4,10,True,True,True,True,True,False,385.65,8.78,1.14,63.22,17.99,0.0,882.36,1.55
888,525987,Healthy Gluten Free Oven Fried Okra,222,100.0,100.0,63.88,40,4,9,True,False,False,False,True,False,328.98,4.7,1.25,73.53,4.64,0.0,326.82,11.54
889,483627,Slow Cooker Vegetable Curry with Chickpeas,5757,100.0,100.0,237.94,490,4,6,True,True,False,True,False,False,269.49,5.51,2.23,46.54,12.44,0.13,1142.66,13.38
890,245426,Broccoli Rabe with Pasta and Sun Dried Tomatoes,546,100.0,100.0,198.03,30,4,8,True,False,False,False,False,False,349.18,9.77,1.83,53.91,7.32,2.41,231.82,14.32
891,587557,Pumpkin N’Oatmeal,126,100.0,87.0,190.36,15,1,5,True,False,False,True,True,True,228.73,10.77,1.12,16.88,2.91,0.0,369.6,0.72
892,798389,High-Protein Black Bean Avocado Tuna Salad Sandwiches,76,100.0,100.0,335.54,5,2,10,True,False,False,False,False,False,457.04,18.94,4.74,35.99,8.15,21.74,767.5,37.43
893,610687,Broccoli Chicken Quinoa Casserole with a Cauliflower Sauce (+Video),927,100.0,100.0,389.91,40,4,9,True,False,False,True,False,False,483.0,16.71,6.56,45.8,10.52,77.67,1062.46,44.35
894,521991,Green Smoothies: A Beginner’s Journey,729,100.0,100.0,290.7,45,1,0,True,True,True,True,True,True,159.9,1.32,0.19,37.76,21.08,0.0,112.37,5.55
895,521521,Asparagus And Lemon Pasta,708,100.0,100.0,280.63,30,2,8,True,False,False,False,False,False,346.32,9.48,2.04,53.44,5.99,3.4,285.0,14.58
896,116381,Stolen Garlic Chicken Livers,166,100.0,79.0,121.39,10,1,10,True,False,False,True,True,True,408.16,25.01,5.49,4.98,0.22,782.45,1325.63,38.96
897,986632,Healing Thai Butternut Squash Lentil Soup (with a slow cooker option!),71,100.0,100.0,293.95,50,4,12,True,True,True,True,True,False,495.27,14.43,8.4,76.09,12.85,0.0,1279.17,18.45
898,557761,Spring Superfoods Salad,1121,100.0,100.0,508.6,25,4,13,True,False,False,True,False,False,513.25,25.9,7.19,52.03,10.92,20.32,729.1,24.44
899,794469,Rainbow Bowls w/ Almond-Ginger Dressing,756,100.0,100.0,307.33,45,4,13,True,True,True,False,True,False,538.08,20.52,2.99,75.0,8.12,0.0,464.27,21.4
900,250480,Vegan Twice Baked Potatoes,346,100.0,95.0,72.08,75,6,5,True,False,False,True,True,False,217.7,0.7,0.12,46.3,4.91,0.0,67.73,7.97
901,611933,Homestyle Lentil Soup,491,100.0,100.0,177.8,45,8,6,True,False,False,True,True,False,270.46,1.0,0.16,50.8,8.49,0.0,1044.74,16.11
